course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_culpa_link,instructor_culpa_nugget,instructor_culpa_reviews_count,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
ACCT B6001,Accounting I: Financial Accoun,,Wei Cai,8:30am,10:00am,15039,Morningside,B6001-20211-001,Accounting I: Financial A,Accounting (ACCT),ACCT,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B6001-20211-001/,209 W & J Warren Hall,,,3,,TR,20211ACCT6001B001,LECTURE
ACCT B6001,Accounting I: Financial Accoun,,Wei Cai,10:20am,11:50am,15040,Morningside,B6001-20211-002,Accounting I: Financial A,Accounting (ACCT),ACCT,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B6001-20211-002/,209 W & J Warren Hall,,,3,,TR,20211ACCT6001B002,LECTURE
ACCT B6001,Accounting I: Financial Accoun,,Yao Liu,10:20am,11:50am,15041,Morningside,B6001-20211-003,Accounting I: Financial A,Accounting (ACCT),ACCT,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B6001-20211-003/,310 W & J Warren Hall,,,3,,TR,20211ACCT6001B003,LECTURE
ACCT B7007,Financial Planning & Analyis,,Tim Baldenius,,,14251,Morningside,B7007-20211-001,Financial Planning & Anal,Accounting (ACCT),ACCT,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B7007-20211-001/,,,,1.5,,,20211ACCT7007B001,LECTURE
ACCT B7007,Financial Planning & Analyis,,Tim Baldenius,,,14252,Morningside,B7007-20211-002,Financial Planning & Anal,Accounting (ACCT),ACCT,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B7007-20211-002/,,,,1.5,,,20211ACCT7007B002,LECTURE
ACCT B7010,Fundamental Analysis for Inves,,Shivaram Rajgopal,,,14139,Morningside,B7010-20211-001,Fundamental Analysis for,Accounting (ACCT),ACCT,,,,https://en.wikipedia.org/wiki/Shivaram_Rajgopal,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B7010-20211-001/,,,,3,,,20211ACCT7010B001,LECTURE
ACCT B7022,Accounting for Value,,Stephen H Penman,,,14140,Morningside,B7022-20211-001,,Accounting (ACCT),ACCT,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B7022-20211-001/,,,,3,,,20211ACCT7022B001,LECTURE
ACCT B8007,Financial Planning & Analysis,,Tim Baldenius,10:20am,11:50am,13942,Morningside,B8007-20211-001,Financial Planning & Anal,Accounting (ACCT),ACCT,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B8007-20211-001/,332 Uris Hall,,,1.5,,MW,20211ACCT8007B001,LECTURE
ACCT B8007,Financial Planning & Analysis,,Tim Baldenius,8:30am,10:00am,13943,Morningside,B8007-20211-002,Financial Planning & Anal,Accounting (ACCT),ACCT,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B8007-20211-002/,332 Uris Hall,,,1.5,,MW,20211ACCT8007B002,LECTURE
ACCT B8008,Earnings Quality & Fundamental,,Doron Nissim,8:30am,10:00am,13944,Morningside,B8008-20211-001,Earnings Quality & Fundam,Accounting (ACCT),ACCT,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B8008-20211-001/,207 W & J Warren Hall,,,3,,MW,20211ACCT8008B001,LECTURE
ACCT B8008,Earnings Quality & Fundamental,,Doron Nissim,10:20am,11:50am,13945,Morningside,B8008-20211-002,Earnings Quality & Fundam,Accounting (ACCT),ACCT,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B8008-20211-002/,207 W & J Warren Hall,,,3,,MW,20211ACCT8008B002,LECTURE
ACCT B8009,Financial Statement Analysis a,,Amir Ziv,2:00pm,5:15pm,13946,Morningside,B8009-20211-001,Financial Statement Analy,Accounting (ACCT),ACCT,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B8009-20211-001/,209 W & J Warren Hall,,,3,,T,20211ACCT8009B001,LECTURE
ACCT B8009,Financial Statement Analysis a,,Amir Ziv,8:30am,11:45am,13947,Morningside,B8009-20211-002,Financial Statement Analy,Accounting (ACCT),ACCT,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B8009-20211-002/,207 W & J Warren Hall,,,3,,T,20211ACCT8009B002,LECTURE
ACCT B8010,Fundamental Analysis for Inves,,Shivaram Rajgopal,8:30am,11:45am,13948,Morningside,B8010-20211-001,Fundamental Analysis for,Accounting (ACCT),ACCT,,,,https://en.wikipedia.org/wiki/Shivaram_Rajgopal,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B8010-20211-001/,To be announced,,,3,,M,20211ACCT8010B001,LECTURE
ACCT B8022,Accounting for Value,,Stephen H Penman,5:40pm,8:55pm,13949,Morningside,B8022-20211-001,,Accounting (ACCT),ACCT,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B8022-20211-001/,330 Uris Hall,,,3,,T,20211ACCT8022B001,LECTURE
ACCT B8122,Accounting for Consultants,,Tim Baldenius,2:00pm,5:15pm,13961,Morningside,B8122-20211-001,Accounting for Consultant,Accounting (ACCT),ACCT,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACCT/B8122-20211-001/,332 Uris Hall,,,3,,M,20211ACCT8122B001,LECTURE
ACLS BC3450,WOMEN AND LEADERSHIP,"Prerequisites: Permission of instructor. Limited to 15. Examination of the social conditions and linguistic practices that have shaped the historical and contemporary gendering of leadership, power, and authority in the United States and around the world. Through examples drawn from the social, political, and economic worlds, we will explore leadership in varying racial, class, and regional contexts.
",,10:10am,12:00pm,00035,Barnard College,X3450-20211-001,,Athena Center for Leadership Studies @Barnard,ACLS,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACLS/X3450-20211-001/,To be announced,,Barnard College,4,,MF,20211ACLS3450X001,SEMINAR
ACLS BC3450,WOMEN AND LEADERSHIP,"Prerequisites: Permission of instructor. Limited to 15. Examination of the social conditions and linguistic practices that have shaped the historical and contemporary gendering of leadership, power, and authority in the United States and around the world. Through examples drawn from the social, political, and economic worlds, we will explore leadership in varying racial, class, and regional contexts.
",,10:10am,12:00pm,00036,Barnard College,X3450-20211-002,,Athena Center for Leadership Studies @Barnard,ACLS,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACLS/X3450-20211-002/,To be announced,,Barnard College,4,,MF,20211ACLS3450X002,SEMINAR
ACLS BC3997,INTERDISCIPLINARY SENIOR SEM,"Prerequisites: ACLS BC3450. Enrollment limited to Barnard seniors participating in the Athena Scholars Program. Limited to seniors participating in the Athena Scholars Program. Students will develop a social action project where they must demonstrate leadership skills in an off-campus setting. Students will be expected to develop and implement a detailed plan to start their project. Then they will collaborate with other class members to advance their projects, report to their peers on their accomplishments and have an opportunity to work closely with organizations across the city on their efforts.
",,10:10am,12:00pm,00037,Barnard College,X3997-20211-001,INTERDISCIPLINARY SENIOR,Athena Center for Leadership Studies @Barnard,ACLS,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACLS/X3997-20211-001/,To be announced,,Barnard College,4,ACLS BC3450,W,20211ACLS3997X001,SEMINAR
ACLS BC3997,INTERDISCIPLINARY SENIOR SEM,"Prerequisites: ACLS BC3450. Enrollment limited to Barnard seniors participating in the Athena Scholars Program. Limited to seniors participating in the Athena Scholars Program. Students will develop a social action project where they must demonstrate leadership skills in an off-campus setting. Students will be expected to develop and implement a detailed plan to start their project. Then they will collaborate with other class members to advance their projects, report to their peers on their accomplishments and have an opportunity to work closely with organizations across the city on their efforts.
",,2:00pm,4:00pm,00039,Barnard College,X3997-20211-002,INTERDISCIPLINARY SENIOR,Athena Center for Leadership Studies @Barnard,ACLS,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACLS/X3997-20211-002/,To be announced,,Barnard College,4,ACLS BC3450,F,20211ACLS3997X002,SEMINAR
ACTU PS5619,PENSIONS,"PENSIONS
",,5:10pm,7:00pm,10893,Morningside,K5619-20211-D01,PENSIONS (ONLINE),Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5619-20211-D01/,ONLINE ONLY,,Professional Studies,3,,R,20211ACTU5619KD01,ONLINE COURS
ACTU PS5630,PROPERTY/CASUALTY,,,8:10pm,10:00pm,10894,Morningside,K5630-20211-D01,PROPERTY & CASUALTY (ONLINE),Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5630-20211-D01/,ONLINE ONLY,,Professional Studies,3,,T,20211ACTU5630KD01,LECTURE
ACTU PS5821,ACTUARIAL METHODS I,,Yubo Wang,8:40am,9:55am,13819,Morningside,K5821-20211-H01,,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5821-20211-H01/,To be announced,,"GSAS
Professional Studies
SIPA
Teachers College",3,,TR,20211ACTU5821KH01,LECTURE
ACTU PS5822,ACTUARIAL METHODS II,,Abraham Weishaus,8:40am,9:55am,13820,Morningside,K5822-20211-H01,,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5822-20211-H01/,To be announced,,"GSAS
Professional Studies
SIPA
Teachers College",3,,MW,20211ACTU5822KH01,LECTURE
ACTU PS5823,ACTUARIAL MODELS,,Abraham Weishaus,10:10am,11:25am,13821,Morningside,K5823-20211-H01,,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5823-20211-H01/,To be announced,,"GSAS
Professional Studies
SIPA
Teachers College",3,,MW,20211ACTU5823KH01,LECTURE
ACTU PS5830,MODELS FOR FINANCE & ECONOMICS,,Yubo Wang,10:10am,11:25am,13822,Morningside,K5830-20211-H01,MODELS FOR FINANCE & ECON,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5830-20211-H01/,To be announced,,"GSAS
Professional Studies
SIPA
Teachers College",3,,TR,20211ACTU5830KH01,LECTURE
ACTU PS5840,PREDICTIVE MODELING IN FINANCE & INSURAN,"PREDICTIVE MODELING IN FINANCE & INSURANCE
",Lina Xu,7:40pm,8:55pm,13823,Morningside,K5840-20211-H01,PREDICT MDLNG IN FINANCE,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5840-20211-H01/,To be announced,,"GSAS
Professional Studies
SIPA
Teachers College",3,,MW,20211ACTU5840KH01,SEMINAR
ACTU PS5841,DATA SCIENCE IN FINANCE AND INSURANCE,,Yubo Wang,7:40pm,8:55pm,13824,Morningside,K5841-20211-H01,DATA SCIENCE IN FINANCE A,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5841-20211-H01/,To be announced,,"GSAS
Professional Studies
SIPA
Teachers College",3,,TR,20211ACTU5841KH01,LECTURE
ACTU PS5900,PROSEMINAR IN ACTUARIAL SCIENCE,,Lina Xu,4:10pm,6:00pm,13826,Morningside,K5900-20211-H01,PROSEMINAR IN ACTUARIAL S,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5900-20211-H01/,To be announced,,Professional Studies,2,,TR,20211ACTU5900KH01,PROSEMINAR
ACTU PS5995,INTERNSHIP IN ACTUARIAL SCIENCE,,Lina Xu,,,13825,Morningside,K5995-20211-H01,INTERNSHIP IN ACTUARIAL S,Actuarial Science,ACTU,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5995-20211-H01/,,,Professional Studies,1,,,20211ACTU5995KH01,INTERNSHIP
ADDN D6303,PRECLINICAL PROSTHODONTIC,,Candice B Zemnick,,,10054,Health Science,D6303-20211-082,,Dental and Oral Surgery,ADDN,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ADDN/D6303-20211-082/,,,,0,,,20211ADDN6303D082,SEMINAR
ADDN D6304,PRECLINICAL COMPREHENSIVE CARE,,Roseanna Graham,,,10066,Health Science,D6304-20211-082,PRECLINICAL COMPREHENSIVE,Dental and Oral Surgery,ADDN,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ADDN/D6304-20211-082/,,,,0,,,20211ADDN6304D082,INDEPENDENT
ADDN D6308,PRECLINICAL DENTISTRY ENDODONTICS,,Mona R Boside,,,10067,Health Science,D6308-20211-082,PRECLINICAL DENTISTRY END,Dental and Oral Surgery,ADDN,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/ADDN/D6308-20211-082/,,,,0,,,20211ADDN6308D082,INDEPENDENT
