course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_culpa_link,instructor_culpa_nugget,instructor_culpa_reviews_count,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
AHMM S3321,MUSICS OF INDIA & WEST ASIA,"This course is a topical (not comprehensive) survey of some of the musical traditions of South and West Asia, and of their diasporas. Each tradition will be described locally, connecting it to critical themes that the course aims to explore. The purpose of the course is to introduce you to a range of indigenous and diasporic “Asian” musical styles, ideas, traditions, and artists through an interdisciplinary approach to the study of music as culture. No previous background in music is required.
",Alessandra M Ciucci,,,10031,Morningside,S3321-20212-001,MUSICS OF INDIA & WEST AS,Music,AHMM,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/AHMM/S3321-20212-001/,,In-Person,,3,,,20212AHMM3321S001,LECTURE
AMST UN3990,SENIOR RESEARCH SEMINAR,"Prerequisites: AMST UN3920 A seminar devoted to the research and writing, under the instructors supervision, of a substantial paper on a topic in American studies. Class discussions of issues in research, interpretation, and writing.
",Casey Blake,,,10056,Morningside,W3990-20212-001,,American Studies,AMST,http://culpa.info/professors/358,silver,22.0,https://en.wikipedia.org/wiki/Casey_Nelson_Blake,http://www.columbia.edu//cu/bulletin/uwb/subj/AMST/W3990-20212-001/,,On-Line Only,,4,AMST UN3920,,20212AMST3990W001,RESEARCH SEM
ANTH S3989,ETHNOG STREET STUDY-URBAN ANTH,"This seminar is an introduction to the theory and methods that have been developed by anthropologists to study contemporary cities and urban cultures. Although anthropology has historically focused on the study of non-Western and largely rural societies, since the 1960s, anthropologists have increasingly directed attention to cities and urban cultures. During the course of the semester, we will examine such topics as: the politics of urban planning, development and land use; race, class, gender and urban inequality; urban migration and transnational communities; the symbolic economies of urban space; and street life. Readings will include the works of Jane Jacobs, Sharon Zukin, and Henri Lefebvre.
",Steven Gregory,2:10pm,4:00pm,10086,Morningside,S3989-20212-001,ETHNOG STREET STUDY-URBAN,Anthropology,ANTH,http://culpa.info/professors/1390,,5.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/ANTH/S3989-20212-001/,ONLINE ONLY,On-Line Only,,3,,T,20212ANTH3989S001,SEMINAR
ANTH UN3725,Politics of Recognition,"This course examines the contemporary history of struggles for recognition, reform and revolution as articulated around the politics of recognition. The course is genealogical in spirit, beginning with a set of texts that have provided the touchstone for contemporary theory and practices of politics and then moving to more recent engagements with the same.
",Elizabeth Povinelli,6:10pm,8:00pm,10088,Morningside,W3725-20212-001,,Anthropology,ANTH,http://culpa.info/professors/2542,silver,14.0,https://en.wikipedia.org/wiki/Elizabeth_Povinelli,http://www.columbia.edu//cu/bulletin/uwb/subj/ANTH/W3725-20212-001/,ONLINE ONLY,On-Line Only,,4,,MR,20212ANTH3725W001,SEMINAR
ANTH UN3976,ANTHROPOLOGY OF SCIENCE,"This course examines specific debates in the history and philosophy of science, and in science and technology studies (STS), with a view towards exploring the relationships among science, technology and society. The first half of the course engages methodological questions and theoretical debates concerning the nature of epistemology, and the significance of social interests, material agency, laboratory and social practices, and “culture(s)” in the making of scientific knowledge.  The second half delves more specifically into the ways in which sciences and technologies are both embedded in and shape contemporary social and political practices and imaginaries
",Gina A Jae,10:10am,12:00pm,10087,Morningside,V3976-20212-003,,Anthropology,ANTH,http://culpa.info/professors/14083,,1.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/ANTH/V3976-20212-003/,To be announced,Hybrid,,4,,MR,20212ANTH3976V003,SEMINAR
CHEN E4201,ENGIN APPL OF ELECTROCHEMISTRY,"Prerequisites: Physical chemistry and a course in transport phenomena. Engineering analysis of electrochemical systems, including electrode kinetics, transport phenomena, mathematical modeling, and thermodynamics. Common experimental methods are discussed. Examples from common applications in energy conversion and metallization are presented.
",Alan West,10:10am,12:40pm,10081,Morningside,E4201-20212-001,ENGIN APPL OF ELECTROCHEM,Chemical Engineering,CHEN,http://culpa.info/professors/1929,,3.0,,http://www.columbia.edu//cu/bulletin/uwb/subj/CHEN/E4201-20212-001/,ONLINE ONLY,On-Line Only,,3,,MW,20212CHEN4201E001,LECTURE
CHEN E4620,INTRO-POLYMERS/SOFT MATERIALS,,Christopher J Durning,1:10pm,3:40pm,10082,Morningside,E4620-20212-001,INTRO-POLYMERS/SOFT MATER,Chemical Engineering,CHEN,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/CHEN/E4620-20212-001/,ONLINE ONLY,On-Line Only,,3,,TR,20212CHEN4620E001,LECTURE
CHEN E4670,CHEMICAL ENGINEERING DATA ANALYSIS,"Prerequisites: (CHEN E4230) and (CHEN E3120) and (CHEN E3210) or
",Kyle Bishop,10:10am,12:40pm,10083,Morningside,E4670-20212-001,CHEMICAL ENGINEERING DATA,Chemical Engineering,CHEN,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/CHEN/E4670-20212-001/,ONLINE ONLY,In-Person,,3,"CHEN E3120
CHEN E3210
CHEN E4230",TR,20212CHEN4670E001,LECTURE
CHEN E4800,PROTEIN ENGINEERING,,,1:10pm,3:40pm,10085,Morningside,E4800-20212-001,,Chemical Engineering,CHEN,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/CHEN/E4800-20212-001/,ONLINE ONLY,On-Line Only,,3,,MW,20212CHEN4800E001,LECTURE
CHEN E4910,SOLID STATE CHEMISTRY IN PHARMACEUTICAL,"Prerequisites: Pre-requisites: Thermodynamics (any), or General Chemistry Students must be engineering juniors or seniors, engineering graduate students, or PhD and undergraduate students in the sciences, e.g. chemistry or biology.
",Aaron Moment,10:10am,12:40pm,10084,Morningside,E4910-20212-001,SOLID STATE CHEMISTRY IN,Chemical Engineering,CHEN,,,,,http://www.columbia.edu//cu/bulletin/uwb/subj/CHEN/E4910-20212-001/,ONLINE ONLY,On-Line Only,,3,,TR,20212CHEN4910E001,LECTURE
