course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
ACTU PS5619,PENSIONS,"PENSIONS
",,7:40pm,8:55pm,12961,Morningside,K5619-20223-D01,,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5619-20223-D01/,To be announced,In-Person,,3,,TR,20223ACTU5619KD01,ONLINE COURS
ACTU PS5621,INVESTMENT & ALM FOR ACTUARIES,,,7:40pm,8:55pm,12964,Morningside,K5621-20223-D01,INVESTMENT & ALM FOR ACTU,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5621-20223-D01/,To be announced,On-Line Only,,3,,MW,20223ACTU5621KD01,LECTURE
ACTU PS5821,ACTUARIAL METHODS I,,Yubo Wang,2:40pm,3:55pm,12969,Morningside,K5821-20223-001,,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5821-20223-001/,To be announced,In-Person,,3,,TR,20223ACTU5821K001,LECTURE
ACTU PS5822,ACTUARIAL METHODS II,,Abraham Weishaus,11:40am,12:55pm,13652,Morningside,K5822-20223-001,,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5822-20223-001/,To be announced,In-Person,,3,,MW,20223ACTU5822K001,LECTURE
ACTU PS5823,ACTUARIAL MODELS,,Abraham Weishaus,1:10pm,2:25pm,13653,Morningside,K5823-20223-001,,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5823-20223-001/,To be announced,In-Person,,3,,MW,20223ACTU5823K001,LECTURE
ACTU PS5824,ACTUARIAL MODELS II,,Abraham Weishaus,2:40pm,3:55pm,13654,Morningside,K5824-20223-001,,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5824-20223-001/,To be announced,In-Person,,3,,MW,20223ACTU5824K001,LECTURE
ACTU PS5830,MODELS FOR FINANCE & ECONOMICS,,Yubo Wang,8:40am,9:55am,13656,Morningside,K5830-20223-001,MODELS FOR FINANCE & ECON,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5830-20223-001/,To be announced,In-Person,,3,,TR,20223ACTU5830K001,LECTURE
ACTU PS5840,PREDICTIVE MODELING IN FINANCE & INSURAN,"PREDICTIVE MODELING IN FINANCE & INSURANCE
",Lina Xu,2:40pm,3:55pm,13657,Morningside,K5840-20223-001,PREDICT MODLNG IN FIN & INSRNC,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5840-20223-001/,To be announced,In-Person,,3,,TR,20223ACTU5840K001,SEMINAR
ACTU PS5841,DATA SCIENCE IN FINANCE AND INSURANCE,,Yubo Wang,10:10am,11:25am,13659,Morningside,K5841-20223-001,DATA SCIENCE IN FIN & INSURANC,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5841-20223-001/,To be announced,In-Person,,3,,TR,20223ACTU5841K001,LECTURE
ACTU PS5843,GLOBAL CAPITAL MARKET & INVESTMENT,,,3:10pm,5:55pm,13660,Morningside,K5843-20223-001,GLOBAL CAPITAL MRKT & INVSTMNT,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5843-20223-001/,To be announced,In-Person,,3,,W,20223ACTU5843K001,LECTURE
ACTU PS5846,QUANTITATIVE RISK MANAGEMENT,,,10:10am,12:55pm,13661,Morningside,K5846-20223-001,QUANTITATIVE RISK MGMT,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5846-20223-001/,To be announced,In-Person,,3,,F,20223ACTU5846K001,LECTURE
ACTU PS5848,RISK MANAGEMENT IN P&C INSURANCE,,,6:10pm,8:55pm,13662,Morningside,K5848-20223-001,RISK MGMT IN P&C INSURANCE,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5848-20223-001/,To be announced,In-Person,,3,,M,20223ACTU5848K001,LECTURE
ACTU PS5850,ORAL COMMUNICATIONS FOR ACTUARIAL PROFES,,,3:10pm,5:55pm,13663,Morningside,K5850-20223-001,ORAL COMM FOR ACTUARIAL P,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5850-20223-001/,To be announced,In-Person,,3,,M,20223ACTU5850K001,LECTURE
ACTU PS5851,RETIREMENT INCOME SOLUTION,,,1:10pm,3:55pm,13664,Morningside,K5851-20223-001,RETIREMENT INCOME SOLUTIO,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5851-20223-001/,To be announced,In-Person,,3,,F,20223ACTU5851K001,LECTURE
ACTU PS5900,PROSEMINAR IN ACTUARIAL SCIENCE,,Lina Xu,4:10pm,6:00pm,13665,Morningside,K5900-20223-001,PROSEMINAR IN ACTUARIAL,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5900-20223-001/,To be announced,In-Person,,2,,TR,20223ACTU5900K001,PROSEMINAR
ACTU PS5995,INTERNSHIP IN ACTUARIAL SCIENCE,,Lina Xu,,,13666,Morningside,K5995-20223-001,INTERNSHIP IN ACTUARIAL S,Actuarial Science,ACTU,,http://www.columbia.edu//cu/bulletin/uwb/subj/ACTU/K5995-20223-001/,,In-Person,,1,,,20223ACTU5995K001,INTERNSHIP
ADDN D5301,DENTAL ANATOMY & MORPHOLOGY,,Roseanna Graham,,,16275,Health Science,D5301-20223-081,,Dental and Oral Surgery,ADDN,,http://www.columbia.edu//cu/bulletin/uwb/subj/ADDN/D5301-20223-081/,,On-Line Only,,0,,,20223ADDN5301D081,INDEPENDENT
ADDN D5302,PRE-CLINICAL OPPERATIVE DENT,,Roseanna Graham,,,16204,Health Science,D5302-20223-081,PRE-CLINICAL OP DENT,Dental and Oral Surgery,ADDN,,http://www.columbia.edu//cu/bulletin/uwb/subj/ADDN/D5302-20223-081/,,Hybrid,,0,,,20223ADDN5302D081,INDEPENDENT
ADDN D5304,PRECLINICAL OPERATIVE DENTISTRY LAB,,Roseanna Graham,,,16276,Health Science,D5304-20223-081,PRECLIN OPERTV DENT LAB,Dental and Oral Surgery,ADDN,,http://www.columbia.edu//cu/bulletin/uwb/subj/ADDN/D5304-20223-081/,,Hybrid,,0,,,20223ADDN5304D081,LABORATORY
ADDN D6303,PRECLINICAL PROSTHODONTIC,,Seung Jun Song,,,16155,Health Science,D6303-20223-082,,Dental and Oral Surgery,ADDN,,http://www.columbia.edu//cu/bulletin/uwb/subj/ADDN/D6303-20223-082/,,Hybrid,,0,,,20223ADDN6303D082,SEMINAR
ADDN D6304,PRECLINICAL COMPREHENSIVE CARE,,Roseanna Graham,,,16167,Health Science,D6304-20223-082,PRECLINICAL COMPREHENSIVE,Dental and Oral Surgery,ADDN,,http://www.columbia.edu//cu/bulletin/uwb/subj/ADDN/D6304-20223-082/,,Hybrid,,0,,,20223ADDN6304D082,INDEPENDENT
ADDN D6305,PRECLINCAL COMPREHENSIVE CARE III LAB,,Candice B Zemnick,,,16374,Health Science,D6305-20223-082,PRECLINCAL COMPREHENSIVE,Dental and Oral Surgery,ADDN,,http://www.columbia.edu//cu/bulletin/uwb/subj/ADDN/D6305-20223-082/,,In-Person,,0,,,20223ADDN6305D082,LABORATORY
ADDN D6307,PRECLINICAL OPERATIVE DENTISTRY,,Roseanna Graham,,,16205,Health Science,D6307-20223-082,PRECLINICAL OPERATIVE DEN,Dental and Oral Surgery,ADDN,,http://www.columbia.edu//cu/bulletin/uwb/subj/ADDN/D6307-20223-082/,,Hybrid,,0,,,20223ADDN6307D082,INDEPENDENT
ADDN D6308,PRECLINICAL DENTISTRY ENDODONTICS,,Mona R Boside,,,16168,Health Science,D6308-20223-082,PRECLINICAL DENTISTRY END,Dental and Oral Surgery,ADDN,,http://www.columbia.edu//cu/bulletin/uwb/subj/ADDN/D6308-20223-082/,,Hybrid,,0,,,20223ADDN6308D082,INDEPENDENT
