course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,instructor_wikipedia_link,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
COMS BC3099,INDEPENDENT STUDY,"Independent Study. Instructor permission required. 
",Rebecca N Wright,,,00001,Barnard College,X3099-20231-001,,Computer Science @Barnard,COMS,,http://www.columbia.edu//cu/bulletin/uwb/subj/COMS/X3099-20231-001/,,,,1-4,,,20231COMS3099X001,INDEPENDENT
CSER GU4350,CINEMA OF SUBVERSION,"Russian filmmaker Andre Tarkovsky said that “the artist has no right to an idea in which he is not socially committed.” Argentine filmmaker Fernando Solanas and Spanish-born Octavio Getino postulated an alternative cinema that would spur spectators to political action. In this course we will ask the question: How do authoritarian governments influence the arts, and how do artists respond? We will study how socially committed filmmakers have subverted and redefined cinema aesthetics to challenge authoritarianism and repression. In addition, we will look at how some filmmakers respond to institutional oppression, such as poverty and corruption, even within so-called “free” societies. The focus is on contemporary filmmakers but will also include earlier classics of world cinema to provide historical perspective. The course will discuss these topics, among others: What is authoritarianism, what is totalitarianism, and what are the tools of repression within authoritarian/totalitarian societies? What is Third Cinema, and how does it represent and challenge authoritarianism? How does film navigate the opposition of censorship, propaganda and truth? How do filmmakers respond to repressive laws concerning gender and sexual orientation? How do they deal with violence and trauma? How are memories of repressive regimes reflected in the psyche of modern cinema? And finally, what do we learn about authority, artistic vision, and about ourselves when we watch these films?
",Eric Gamalinda,4:10pm,6:00pm,10001,Morningside,W4350-20231-001,,"Ethnicity and Race, Center for",CSER,,http://www.columbia.edu//cu/bulletin/uwb/subj/CSER/W4350-20231-001/,To be announced,In-Person,,4,,R,20231CSER4350W001,SEMINAR
CSER UN3701,LATINX RACIAL IDENTITY & CULTURAL PRODUC,"The course will investigate the impact of racial identity among Latinx in the U.S. on cultural production of Latinos in literature, media, politics and film. The seminar will consider the impact of bilingualism, shifting racial identification, and the viability of monolithic terms like Latinx. We will see how the construction of Latinx racial identity affects acculturation in the U.S., with particular attention to hybrid identities and the centering of black and indigenous cultures. Examples will be drawn from different Latinx ethnicities from the Caribbean, Mexico and the rest of Latin America.
",Edward Morales,2:10pm,4:00pm,10002,Morningside,W3701-20231-001,LATINX RACIAL CULTURAL PR,"Ethnicity and Race, Center for",CSER,,http://www.columbia.edu//cu/bulletin/uwb/subj/CSER/W3701-20231-001/,To be announced,In-Person,,4,,T,20231CSER3701W001,SEMINAR
CSER UN3928,COLONIZATION/DECOLONIZATION,"Prerequisites: Open to CSER majors/concentrators only. Others may be allowed to register with the instructors permission. This course explores the centrality of colonialism in the making of the modern world, emphasizing cross-cultural and social contact, exchange, and relations of power; dynamics of conquest and resistance; and discourses of civilization, empire, freedom, nationalism, and human rights, from 1500 to 2000. Topics include pre-modern empires; European exploration, contact, and conquest in the new world; Atlantic-world slavery and emancipation; and European and Japanese colonialism in Asia, Africa, and the Middle East. The course ends with a section on decolonization and post-colonialism in the period after World War II. Intensive reading and discussion of primary documents.
",Czarina F Thelen,10:10am,12:00pm,10147,Morningside,W3928-20231-001,COLONIZATION/DECOLONIZATI,"Ethnicity and Race, Center for",CSER,,http://www.columbia.edu//cu/bulletin/uwb/subj/CSER/W3928-20231-001/,To be announced,In-Person,,4,,W,20231CSER3928W001,SEMINAR
CSER UN3940,COMP STUDY OF CONSTITUTNL CHAL,"This course will examine how the American legal system decided constitutional challenges affecting the empowerment of African, Latino, and Asian American communities from the 19th century to the present. Focus will be on the role that race, citizenship, capitalism/labor, property, and ownership played in the court decision in the context of the historical, social, and political conditions existing at the time. Topics include the denial of citizenship and naturalization to slaves and immigrants, government sanctioned segregation, the struggle for reparations for descendants of slavery, and Japanese Americans during World War II.
",Elizabeth Ouyang,10:10am,12:00pm,10000,Morningside,W3940-20231-001,COMP STUDY OF CONSTITUTNL,"Ethnicity and Race, Center for",CSER,,http://www.columbia.edu//cu/bulletin/uwb/subj/CSER/W3940-20231-001/,To be announced,In-Person,,4,,R,20231CSER3940W001,SEMINAR
ECON BC3099,INDEPENDENT STUDY,"Prerequisites: ECON BC3033 or ECON BC3035 or permission of the instructor. Topic(s), requirements, workload and point value to be determined in consultation with faculty advisor. Forms available at the Office of the Registrar.
",Elham Saeidinezhad,,,00002,Barnard College,X3099-20231-001,,Economics @Barnard,ECON,,http://www.columbia.edu//cu/bulletin/uwb/subj/ECON/X3099-20231-001/,,,,1-4,"ECON BC3033
ECON BC3035",,20231ECON3099X001,INDEPENDENT
ECON BC3099,INDEPENDENT STUDY,"Prerequisites: ECON BC3033 or ECON BC3035 or permission of the instructor. Topic(s), requirements, workload and point value to be determined in consultation with faculty advisor. Forms available at the Office of the Registrar.
",Randall Reback,,,00003,Barnard College,X3099-20231-002,,Economics @Barnard,ECON,,http://www.columbia.edu//cu/bulletin/uwb/subj/ECON/X3099-20231-002/,,,,1-4,"ECON BC3033
ECON BC3035",,20231ECON3099X002,INDEPENDENT
LAW_ L6038,CLIMATE CHANGE LAW,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",Michael Gerrard,2:50pm,4:10pm,10029,Morningside,L6038-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6038-20231-001/,To be announced,In-Person,,3,,MW,20231LAW_6038L001,LECTURE
LAW_ L6040,INT'L ENVIRONMENTAL LAW,"This is a Law School course. For more detailed course information, please go to the Law School Curriculum Guide at: http://www.law.columbia.edu/courses/search
",Richard Horsch,6:20pm,8:10pm,10060,Morningside,L6040-20231-001,,Law,LAW_,,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6040-20231-001/,To be announced,In-Person,,2,,W,20231LAW_6040L001,LECTURE
LAW_ L6105,CONTRACTS,,Elizabeth F Emens,2:50pm,4:40pm,10034,Morningside,L6105-20231-001,,Law,LAW_,https://en.wikipedia.org/wiki/Elizabeth_F._Emens,http://www.columbia.edu//cu/bulletin/uwb/subj/LAW_/L6105-20231-001/,To be announced,In-Person,,4,,TR,20231LAW_6105L001,LECTURE
