course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
ADDN D5301,DENTAL ANATOMY & MORPHOLOGY,,,,,10158,,D5301-20263-081,,Dental and Oral Surgery,ADDN,https://doc.sis.columbia.edu/subj/ADDN/D5301-20263-081/,,In-Person,,0,,,20263ADDN5301D081,INDEPENDENT
ADDN D5302,PRE-CLINICAL OPPERATIVE DENT,,,,,10087,,D5302-20263-081,PRE-CLINICAL OP DENT,Dental and Oral Surgery,ADDN,https://doc.sis.columbia.edu/subj/ADDN/D5302-20263-081/,,In-Person,,0,,,20263ADDN5302D081,INDEPENDENT
ADDN D5304,PRECLINICAL OPERATIVE DENTISTRY LAB,,Roseanna Graham,,,10159,,D5304-20263-081,PRECLIN OPERTV DENT LAB,Dental and Oral Surgery,ADDN,https://doc.sis.columbia.edu/subj/ADDN/D5304-20263-081/,,,,0,,,20263ADDN5304D081,LABORATORY
ADDN D6302,Preclinical Fixed Prosthodontics,,,,,10281,,D6302-20263-082,Preclinical Fixed Pros,Dental and Oral Surgery,ADDN,https://doc.sis.columbia.edu/subj/ADDN/D6302-20263-082/,,In-Person,,0,,,20263ADDN6302D082,LECTURE
ADDN D6303,PRECLINICAL PROSTHODONTIC,,,,,10038,,D6303-20263-082,,Dental and Oral Surgery,ADDN,https://doc.sis.columbia.edu/subj/ADDN/D6303-20263-082/,,,,0,,,20263ADDN6303D082,SEMINAR
ADDN D6304,PRECLINICAL COMPREHENSIVE CARE,,,,,10050,,D6304-20263-082,PRECLINICAL COMPREHENSIVE,Dental and Oral Surgery,ADDN,https://doc.sis.columbia.edu/subj/ADDN/D6304-20263-082/,,In-Person,,0,,,20263ADDN6304D082,INDEPENDENT
ADDN D6305,PRECLINCAL COMPREHENSIVE CARE III LAB,,,,,10241,,D6305-20263-082,PRECLINCAL COMPREHENSIVE,Dental and Oral Surgery,ADDN,https://doc.sis.columbia.edu/subj/ADDN/D6305-20263-082/,,In-Person,,0,,,20263ADDN6305D082,LABORATORY
ADDN D6307,PRECLINICAL OPERATIVE DENTISTRY,,,,,10088,,D6307-20263-082,PRECLINICAL OPERATIVE DEN,Dental and Oral Surgery,ADDN,https://doc.sis.columbia.edu/subj/ADDN/D6307-20263-082/,,In-Person,,0,,,20263ADDN6307D082,INDEPENDENT
ADDN D6308,PRECLINICAL DENTISTRY ENDODONTICS,,,,,10051,,D6308-20263-082,PRECLINICAL DENTISTRY END,Dental and Oral Surgery,ADDN,https://doc.sis.columbia.edu/subj/ADDN/D6308-20263-082/,,,,0,,,20263ADDN6308D082,INDEPENDENT
ADDN D6309,PRECLINICAL DENTISTRY ORTHODONTICS,,,,,10048,,D6309-20263-082,PRECLINICAL DENTISTRY ORT,Dental and Oral Surgery,ADDN,https://doc.sis.columbia.edu/subj/ADDN/D6309-20263-082/,,,,0,,,20263ADDN6309D082,INDEPENDENT
