course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
ACCT B6001,Financial Accounting,,Yao Liu,,,14533,,B6001-20261-004,,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B6001-20261-004/,,In-Person,,3,,,20261ACCT6001B004,LECTURE
ACCT B6001,Financial Accounting,,Yao Liu,,,14534,,B6001-20261-001,,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B6001-20261-001/,,In-Person,,3,,,20261ACCT6001B001,LECTURE
ACCT B6001,Financial Accounting,,Yao Liu,,,14535,,B6001-20261-002,,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B6001-20261-002/,,In-Person,,3,,,20261ACCT6001B002,LECTURE
ACCT B6001,Financial Accounting,,Jonathan Glover,,,14536,,B6001-20261-003,,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B6001-20261-003/,,In-Person,,3,,,20261ACCT6001B003,LECTURE
ACCT B8007,Financial Planning & Analysis,"This course explores the use of financial information for internal planning, analysis, and decision-making. The main objective of the course is to equip you with the knowledge to understand, evaluate, and act upon the many financial and non-financial reports used in managing modern firms.
Managing any modern firm requires information about the firm’s products, processes, assets, and customers. This information is a key input into a wide range of decisions: analyzing profitability of various products, managing product-line portfolios, setting prices, measuring and managing profitability of customers, making operational and strategic decisions, evaluating investments, guiding improvement efforts, and so on.
The focus of this course is on modern internal-reporting systems. We will discover that many firms do not provide their managers with useful information; we will see numerous examples of value destruction and bankruptcies caused by this. We will also investigate some modern ideas in how an organization’s internal information system should be designed to enhance value creation; and we will see how world-class firms take advantage of their competitors’ internal-reporting mistakes.
To attain the right level of understanding, we will briefly explore the mechanics of the many techniques used to prepare internal reports. But the emphasis in this course is very much on interpretation, evaluation, and decision-making.
We will examine the following key topics:
Designing managerial information systems to support an organization’s strategy.
Determining which financial and non-financial metrics are necessary for success in various competitive environments.
Evaluating profitability of products, services, assets, and customers.
The capabilities and the limitations of various reporting systems in guiding value-maximization, cost-control, and improvement efforts.
The limitations of traditional cost-estimation systems.
Activity-based costing and activity-based management.
Estimating and managing the costs of capacity resources.
Relevant costs and relevant revenues in business decisions.
The information necessary to evaluate long-term business decisions.
The incentives created by various performance-evaluation techniques.",Tim Baldenius,,,14501,,B8007-20261-001,Financial Planning & Anal,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B8007-20261-001/,,In-Person,"Business
Engineering:Graduate
Journalism
SIPA",1.5,,,20261ACCT8007B001,LECTURE
ACCT B8007,Financial Planning & Analysis,"This course explores the use of financial information for internal planning, analysis, and decision-making. The main objective of the course is to equip you with the knowledge to understand, evaluate, and act upon the many financial and non-financial reports used in managing modern firms.
Managing any modern firm requires information about the firm’s products, processes, assets, and customers. This information is a key input into a wide range of decisions: analyzing profitability of various products, managing product-line portfolios, setting prices, measuring and managing profitability of customers, making operational and strategic decisions, evaluating investments, guiding improvement efforts, and so on.
The focus of this course is on modern internal-reporting systems. We will discover that many firms do not provide their managers with useful information; we will see numerous examples of value destruction and bankruptcies caused by this. We will also investigate some modern ideas in how an organization’s internal information system should be designed to enhance value creation; and we will see how world-class firms take advantage of their competitors’ internal-reporting mistakes.
To attain the right level of understanding, we will briefly explore the mechanics of the many techniques used to prepare internal reports. But the emphasis in this course is very much on interpretation, evaluation, and decision-making.
We will examine the following key topics:
Designing managerial information systems to support an organization’s strategy.
Determining which financial and non-financial metrics are necessary for success in various competitive environments.
Evaluating profitability of products, services, assets, and customers.
The capabilities and the limitations of various reporting systems in guiding value-maximization, cost-control, and improvement efforts.
The limitations of traditional cost-estimation systems.
Activity-based costing and activity-based management.
Estimating and managing the costs of capacity resources.
Relevant costs and relevant revenues in business decisions.
The information necessary to evaluate long-term business decisions.
The incentives created by various performance-evaluation techniques.",Tim Baldenius,,,14502,,B8007-20261-002,Financial Planning & Anal,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B8007-20261-002/,,In-Person,,1.5,,,20261ACCT8007B002,LECTURE
ACCT B8008,Earnings Quality & Fundamental,"Financial reporting provides a window into the operational and financial workings of a company. However, translating this information into actionable insights is anything but straightforward. It requires an understanding of: Generally Accepted Accounting Principles (GAAP), the quality of financial information, and the adjustments and analyses used to assess profitability, risk, growth, and value.
 
 The course starts with a short review of financial reporting and then focuses on various modules of fundamental analysis, including earnings quality analysis, performance evaluation, risk assessment, forecasting, and valuation. The remaining class meetings (approximately 14 out of 24) are devoted to a deeper dive into the reporting and analysis of key transactions (e.g., business combinations, leasing) and financial statement line items (e.g., revenue, income taxes).
 
 To allow for dynamic progress, the class schedule is flexible:
 Topic Approximate # of class meetings
 1. Review of financial reporting 2
 2. Financial statement analysis 4
 3. Forecasting and valuation 4
 4. Revenue and related items 2
 5. Operating capacity 3
 6. Estimated items 3.5
 7. Financial instruments 2
 8. Investments in businesses 2.5
 9. Equity and related items 1
 Total 24
 
 While the course covers the theoretical underpinning of the various analyses, it focuses on implementation and practical uses. We will study many actual financial disclosures and cases of accounting abuses, and we will conduct fundamental-based valuation and other financial analyses, including using Excel tools that will be provided to the students. Studying financial disclosures will help you better understand the underlying assumptions and accounting choices the firm made in arriving at its accounting numbers. This information can be used to make earnings quality adjustments to the accounting numbers to make them more consistent across time or more comparable across companies. Studying cases of accounting abuses will help you improve your ability to “read between the lines” and develop a set of red flags to look for in analyzing financial statements. The class also incorporates insights from practitioner and academic research.
 
 The primary objective of the course is to acquire a deep understanding of accounting information and how to intelligently use it in making investment, credit, and similar resource allocation decisions. Such knowledge is required of investors, consultants, analysts, banke",Jonathan Glover,,,14388,,B8008-20261-050,Earnings Quality & Fundam,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B8008-20261-050/,,In-Person,,3,,,20261ACCT8008B050,LECTURE
ACCT B8008,Earnings Quality & Fundamental,"Financial reporting provides a window into the operational and financial workings of a company. However, translating this information into actionable insights is anything but straightforward. It requires an understanding of: Generally Accepted Accounting Principles (GAAP), the quality of financial information, and the adjustments and analyses used to assess profitability, risk, growth, and value.
 
 The course starts with a short review of financial reporting and then focuses on various modules of fundamental analysis, including earnings quality analysis, performance evaluation, risk assessment, forecasting, and valuation. The remaining class meetings (approximately 14 out of 24) are devoted to a deeper dive into the reporting and analysis of key transactions (e.g., business combinations, leasing) and financial statement line items (e.g., revenue, income taxes).
 
 To allow for dynamic progress, the class schedule is flexible:
 Topic Approximate # of class meetings
 1. Review of financial reporting 2
 2. Financial statement analysis 4
 3. Forecasting and valuation 4
 4. Revenue and related items 2
 5. Operating capacity 3
 6. Estimated items 3.5
 7. Financial instruments 2
 8. Investments in businesses 2.5
 9. Equity and related items 1
 Total 24
 
 While the course covers the theoretical underpinning of the various analyses, it focuses on implementation and practical uses. We will study many actual financial disclosures and cases of accounting abuses, and we will conduct fundamental-based valuation and other financial analyses, including using Excel tools that will be provided to the students. Studying financial disclosures will help you better understand the underlying assumptions and accounting choices the firm made in arriving at its accounting numbers. This information can be used to make earnings quality adjustments to the accounting numbers to make them more consistent across time or more comparable across companies. Studying cases of accounting abuses will help you improve your ability to “read between the lines” and develop a set of red flags to look for in analyzing financial statements. The class also incorporates insights from practitioner and academic research.
 
 The primary objective of the course is to acquire a deep understanding of accounting information and how to intelligently use it in making investment, credit, and similar resource allocation decisions. Such knowledge is required of investors, consultants, analysts, banke",Doron Nissim,,,14674,,B8008-20261-002,Earnings Quality & Fundam,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B8008-20261-002/,,In-Person,"Business
Engineering:Graduate
Journalism",3,,,20261ACCT8008B002,LECTURE
ACCT B8008,Earnings Quality & Fundamental,"Financial reporting provides a window into the operational and financial workings of a company. However, translating this information into actionable insights is anything but straightforward. It requires an understanding of: Generally Accepted Accounting Principles (GAAP), the quality of financial information, and the adjustments and analyses used to assess profitability, risk, growth, and value.
 
 The course starts with a short review of financial reporting and then focuses on various modules of fundamental analysis, including earnings quality analysis, performance evaluation, risk assessment, forecasting, and valuation. The remaining class meetings (approximately 14 out of 24) are devoted to a deeper dive into the reporting and analysis of key transactions (e.g., business combinations, leasing) and financial statement line items (e.g., revenue, income taxes).
 
 To allow for dynamic progress, the class schedule is flexible:
 Topic Approximate # of class meetings
 1. Review of financial reporting 2
 2. Financial statement analysis 4
 3. Forecasting and valuation 4
 4. Revenue and related items 2
 5. Operating capacity 3
 6. Estimated items 3.5
 7. Financial instruments 2
 8. Investments in businesses 2.5
 9. Equity and related items 1
 Total 24
 
 While the course covers the theoretical underpinning of the various analyses, it focuses on implementation and practical uses. We will study many actual financial disclosures and cases of accounting abuses, and we will conduct fundamental-based valuation and other financial analyses, including using Excel tools that will be provided to the students. Studying financial disclosures will help you better understand the underlying assumptions and accounting choices the firm made in arriving at its accounting numbers. This information can be used to make earnings quality adjustments to the accounting numbers to make them more consistent across time or more comparable across companies. Studying cases of accounting abuses will help you improve your ability to “read between the lines” and develop a set of red flags to look for in analyzing financial statements. The class also incorporates insights from practitioner and academic research.
 
 The primary objective of the course is to acquire a deep understanding of accounting information and how to intelligently use it in making investment, credit, and similar resource allocation decisions. Such knowledge is required of investors, consultants, analysts, banke",Doron Nissim,,,14675,,B8008-20261-001,Earnings Quality & Fundam,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B8008-20261-001/,,In-Person,,3,,,20261ACCT8008B001,LECTURE
ACCT B8009,Financial Statement Analysis a,"This course will provide students with hands-on experience analyzing financial statements. Students will learn about the general tools, theoretical concepts, and practical valuation issues of financial analysis. By the end of the course, students should be comfortable using firms' financial statements (along with other information) to assess firm performance and make reasonable valuation estimates.
 
 Course content and organization In the first half of the course, we will develop a valuation framework that integrates a firm’s strategy, its financial performance, and the credibility of its accounting. The framework consists of the following steps:
 1. Understand the firm’s strategy. We will assess the firm’s value proposition and identify its key value drivers and risks.
 2. Accounting Analysis. We will assess earnings quality and evaluate whether the firm's accounting policies capture the underlying business reality. If not, we will adjust the accounting to eliminate GAAP issues and management biases.
 3. Financial Analysis. We will evaluate current performance with accounting data and financial ratios.
 4. Prospective Analysis: Forecasting. We will assess whether current firm performance is sustainable, and we will forecast future performance. In our forecasts, we will consider growth, profitability, and future competitive advantage.
 5. Prospective Analysis: Valuation. We will convert our forecasts of future earnings and book values into an estimate of the firm’s current value.
 
 In the second half of the course, we will apply the above framework to a variety of business valuation contexts, including IPOs, mergers, and equity-investment analyses.",Kalash Jain,,,14671,,B8009-20261-003,Financial Statement Analy,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B8009-20261-003/,,In-Person,,3,,,20261ACCT8009B003,LECTURE
ACCT B8009,Financial Statement Analysis a,"This course will provide students with hands-on experience analyzing financial statements. Students will learn about the general tools, theoretical concepts, and practical valuation issues of financial analysis. By the end of the course, students should be comfortable using firms' financial statements (along with other information) to assess firm performance and make reasonable valuation estimates.
 
 Course content and organization In the first half of the course, we will develop a valuation framework that integrates a firm’s strategy, its financial performance, and the credibility of its accounting. The framework consists of the following steps:
 1. Understand the firm’s strategy. We will assess the firm’s value proposition and identify its key value drivers and risks.
 2. Accounting Analysis. We will assess earnings quality and evaluate whether the firm's accounting policies capture the underlying business reality. If not, we will adjust the accounting to eliminate GAAP issues and management biases.
 3. Financial Analysis. We will evaluate current performance with accounting data and financial ratios.
 4. Prospective Analysis: Forecasting. We will assess whether current firm performance is sustainable, and we will forecast future performance. In our forecasts, we will consider growth, profitability, and future competitive advantage.
 5. Prospective Analysis: Valuation. We will convert our forecasts of future earnings and book values into an estimate of the firm’s current value.
 
 In the second half of the course, we will apply the above framework to a variety of business valuation contexts, including IPOs, mergers, and equity-investment analyses.",Kalash Jain,,,14672,,B8009-20261-002,Financial Statement Analy,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B8009-20261-002/,,In-Person,,3,,,20261ACCT8009B002,LECTURE
ACCT B8009,Financial Statement Analysis a,"This course will provide students with hands-on experience analyzing financial statements. Students will learn about the general tools, theoretical concepts, and practical valuation issues of financial analysis. By the end of the course, students should be comfortable using firms' financial statements (along with other information) to assess firm performance and make reasonable valuation estimates.
 
 Course content and organization In the first half of the course, we will develop a valuation framework that integrates a firm’s strategy, its financial performance, and the credibility of its accounting. The framework consists of the following steps:
 1. Understand the firm’s strategy. We will assess the firm’s value proposition and identify its key value drivers and risks.
 2. Accounting Analysis. We will assess earnings quality and evaluate whether the firm's accounting policies capture the underlying business reality. If not, we will adjust the accounting to eliminate GAAP issues and management biases.
 3. Financial Analysis. We will evaluate current performance with accounting data and financial ratios.
 4. Prospective Analysis: Forecasting. We will assess whether current firm performance is sustainable, and we will forecast future performance. In our forecasts, we will consider growth, profitability, and future competitive advantage.
 5. Prospective Analysis: Valuation. We will convert our forecasts of future earnings and book values into an estimate of the firm’s current value.
 
 In the second half of the course, we will apply the above framework to a variety of business valuation contexts, including IPOs, mergers, and equity-investment analyses.",Kalash Jain,,,14673,,B8009-20261-001,Financial Statement Analy,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B8009-20261-001/,,In-Person,,3,,,20261ACCT8009B001,LECTURE
ACCT B8027,Sustainability Reporting,"Broadly speaking, the goal of this class is to provide students with both the theoretical and practical knowledge to understand the current challenges in accounting for firms’ ESG goals. In this rapidly evolving field, the course will be structured in four modules:
 
 - Module #1 reviews the need for sustainability accounting and provide an overview of the providers of ESG metrics and the limits of current
 aggregated ESG data.
 - Module #2 present various market-based mechanisms to create ESG standards
 - Module #3 discusses regulatory initiatives to create ESG information for listed firms
 - Module #4 departs from non-financial disclosure and discuss the limits of current accounting standards and introduce new developments to
 incorporate ESG characteristics into traditional financial statements.
 
 While ESG encompasses a vast body of topics, this class will draw examples and discuss about a diverse set of issues ESG, including carbon emissions, employees pay, employees labor-safety, and the role of consumers’ NGO, based on short examples or cases spanning different firms in different industries (e.g., wholesale, aviation) and different countries (e.g., USA, France, Japan).
 This half-term course is composed of a mix of lectures, cases and online or in-person interventions by high profile industry guest speakers. The lectures are motivated by (1) rigorous recent academic studies drawing from the accounting literature, but also borrowing from adjacent fields including economics, finance, law and strategy and (2) practitioners notes and examples.
 
 Who should take this course?
 
 Students should take this course if they are interested in ESG in general and/or if they expect to use disclosure of non-financial information in their career. This is particularly relevant for students who want to pursue careers in finance (e.g., investment banking) where firms’ ESG footprint is becoming a scrutinized factor in M&A or investment decisions in general, as well as students going to careers in consulting where corporate decisions will more and more be benchmark against their ESG implications.
 
 Please note that this course does not require students to have pre-existing knowledge about ESG.",Aniket A Shah,,,14470,,B8027-20261-001,,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B8027-20261-001/,,In-Person,"Business
Journalism",1.5,,,20261ACCT8027B001,LECTURE
ACCT B8029,Mergers & Acquisitions Transactions,"The purpose of this course is to provide you with an overview of M&A strategies and an introduction to the structuring and accounting for deals. We will also learn how to model M&A transactions. This is an advanced and technical course. If reviewing arcane accounting and tax rules does not bring you joy, you are forewarned! You will see plenty of both in the course. During the course, we will focus on several themes:
 1. Deal strategy
 2. Deal valuations
 3. Deal structuring – impact of tax and accounting rules
 4. Common metrics used to evaluate deals and limitations of those metrics
 5. Accounting and modeling of deals
  
This course is recommended for those who intend to work in the financial services area – it will be helpful for those looking for a career in banking, corporate advisory services, treasury or corporate/financial strategy.
  
Advising on M&A transactions requires a strong background in accounting and tax. This course will get into the minutiae of various accounting and tax aspects of M&A. I will expect you to be willing to do the deep dive, where required. It is expected that you
 have already taken courses in financial accounting and corporate finance and are interested in accounting and tax. If you do not have a prior background in accounting and tax, you are strongly advised to check with the instructor before enrolling in this
 course.
  
This is not a course in excel, excel tools/techniques or about excel add‐ins provided by data providers. There are many services provided by data providers and Wall Street Prep companies for those. This course will focus on the accounting, finance and
 economics of evaluating deals and building models. Also, we assume that you are already proficient in Excel, since we will use a lot of Excel models in the course.",Radha Radhakrishna,,,14472,,B8029-20261-001,M&A Transactions,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B8029-20261-001/,,In-Person,"Business
Journalism",1.5,,,20261ACCT8029B001,LECTURE
