course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
AFEN BC3196,HARLEM RENAISSANCE LITERATURE,"Home to Harlem focuses on the relationship between art, activism and social justice during the Harlem/ New Negro Renaissance. Exploring the cultural contexts and aesthetic debates that animated Harlem in 1920s to 1930s, the course discusses the politics of literary and theatrical production, while exploring the fashioning and performance of New Negro identity through fiction, poetry, essays, and artwork.  Topics considered include: role of Africa/slavery/the south in New Negro expression, patronage, passing, primitivism/popular culture, black dialect as literary language, and the problematics of creating a “racial” art in/for a community comprised of differences in gender, class, sexuality, and geographical origin.",Maleda Belilgne,,,00164,,X3196-20271-001,HARLEM RENAISSANCE LITERA,Africana Studies (AFSB),AFEN,https://doc.sis.columbia.edu/subj/AFEN/X3196-20271-001/,,,,4,,,20271AFEN3196X001,SEMINAR
AFRS BC2005,CARIBBEAN CULTURE & SOCIETIES,"This course offers a chronological study of the Anglophone, Hispanophone, and Francophone insular Caribbean through the eyes of some of the region’s most important writers and thinkers. We will focus on issues that key Caribbean intellectuals--including two Nobel prize-winning authors--consider particularly enduring and relevant in Caribbean cultures and societies. Among these are, for example, colonization, slavery, national and postcolonial identity, race, class, popular culture, gender, sexuality, tourism and migration. This course will also serve as an introduction to some of the exciting work on the Caribbean by professors at Barnard College and Columbia University (faculty spotlights).",Maja Horn,,,00422,,X2005-20271-001,CARIBBEAN CULTURE & SOCIE,Africana Studies (AFSB),AFRS,https://doc.sis.columbia.edu/subj/AFRS/X2005-20271-001/,,,,3,,,20271AFRS2005X001,LECTURE
AFRS BC2006,INTRODUCTION AFRICAN DIASPORA,"Interdisciplinary and thematic approach to the African diaspora in the Americas: its motivations, dimensions, consequences, and the importance and stakes of its study. Beginning with the contacts between Africans and the Portuguese in the 15th century, this class will open up diverse paths of inquiry as students attempt to answer questions, clear up misconceptions, and challenge assumptions about the presence of Africans in the New World.",Tamara Walker,,,00246,,X2006-20271-001,INTRODUCTION AFRICAN DIAS,Africana Studies (AFSB),AFRS,https://doc.sis.columbia.edu/subj/AFRS/X2006-20271-001/,,,,3,,,20271AFRS2006X001,LECTURE
AFRS BC3110,THE AFRICANA COLLOQUIUM,"The Africana Studies Department offers special topics courses every year as colloquia. These colloquia provide opportunities for students to explore areas of particular interest within African Diasporic Studies in a seminar environment. Students earn 4 credits for these courses. There are multiple colloquia offered by the department every year. Some of the topics for these colloquia have included Critical Race Theory, Indian Ocean Diaspora, The New Black, Caribbean Women, and Black Shakespeare. As the topics change, students should check with the Chair of the Africana Studies Department if they have any questions about the topics for a particular academic year.",Kim F Hall,,,00862,,X3110-20271-002,,Africana Studies (AFSB),AFRS,https://doc.sis.columbia.edu/subj/AFRS/X3110-20271-002/,,,,4,,,20271AFRS3110X002,SEMINAR
AFRS BC3532,ROMARE BEARDEN:HOME IS HARLEM,"Prerequisites: This course is limited to 20 students Romare Bearden: Home is Harlem, is an exploration into one of the greatest American artists finding home in Harlem. The noted painter, collagist, intellectual and advocate for the arts, spent his childhood and young adult life in Harlem. Known for chronicling the African-American experience, he found rich sources for artistic expression in the Manhattan neighborhoods above 110th Street.",Diedra Harris-Kelley,,,00249,,X3532-20271-001,ROMARE BEARDEN:HOME IS HA,Africana Studies (AFSB),AFRS,https://doc.sis.columbia.edu/subj/AFRS/X3532-20271-001/,,,,4,,,20271AFRS3532X001,SEMINAR
AFRS BC3552,BLACK WOMEN STYLE&PERFRMNCE,,Shirley Taylor,,,00250,,X3552-20271-001,BLACK WOMEN STYLE&PERFRMN,Africana Studies (AFSB),AFRS,https://doc.sis.columbia.edu/subj/AFRS/X3552-20271-001/,,,,4,,,20271AFRS3552X001,SEMINAR
AFRS BC3565,Art & Culture in Harlem,"Harlem is a community with a long and storied legacy of arts and entertainment that dates back to the late 1800s. Its legacy extends through the many cultural movements that have helped to define the community such as the Harlem Renaissance in the early 1900s, the Black Arts Movement in the 1960s, and Hip Hop in the 1970s and 1980s, to the current renaissance of venues that anchor Harlem as a neighborhood vibrant with varied opportunities for cultural engagement. Harlem is home to several historic and iconic venues devoted to the arts and entertainment such as the Apollo Theater, Dance Theatre of Harlem, the Studio Museum in Harlem, and the National Black Theatre. These and many other venues along with many others throughout the neighborhood have helped to anchor Harlem as a beacon for Black creative expression that has been instrumental in shaping American culture. The Schomburg Center for Research in Black Culture, part of the New York Public Library, stands as a repository for much of this history and as an emblem of Harlem’s extensive cultural history. In recent years, Harlem has also seen a burgeoning of new galleries, performance spaces, and cultural events that have reignited and brought new audiences to the community. In this course, we will explore Harlem’s early history and how it evolved from a place known primarily for its entertainment venues to one with a mix of standard and more cutting edge artistic and cultural ventures. Community, politics, and economics will also be considered as we look at various cultural and artistic movements. As part of our exploration, we will examine whether shifts in demographics and the ideas, notions, and sometimes, myths about the neighborhood have influenced arts and entertainment in the community. We will seek to define what distinguishes arts and entertainment in Harlem from other New York City neighborhoods and how Harlem has contributed over the years to Black arts and entertainment in NYC and beyond. This course will include visits to venues and visits from guest speakers, all relative to in-class discussions and deeper exploration of the space arts and entertainment have continued to hold for the community and for the people of Harlem. Along with guided walking tours, visits to selected venues will help to delineate Harlem’s cultural past and its continuing evolution through the work of artists, curators, administrators, scholars, culture bearers, and others. Students are encouraged to attend events at some of the institutions and venu",Shirley Taylor,,,00252,,X3565-20271-001,,Africana Studies (AFSB),AFRS,https://doc.sis.columbia.edu/subj/AFRS/X3565-20271-001/,,,,4,,,20271AFRS3565X001,SEMINAR
AFRS GU4001,Afro-Latin America in the Artistic Imagi,"How have painters, filmmakers, novelists, and other artists portrayed the history of Africans and their descendants in Latin America? How do those portrayals – of the Middle Passage, slavery, revolution, abolition, and contemporary social movements, to name a few examples – compare to scholarly approaches to those same subjects? To answer these and other questions, this class brings together a wide array of materials covering more than five hundred years of Afro-Latin American history. The course will move chronologically from the 15th century to the present, with each week devoted to grappling with a topic relevant to the history of Afro-Latin America in a given era, as viewed through both artistic and scholarly sources. Students will come to class prepared to consider what each has to offer to our understanding of the past. We will also debate the possibilities of using art to disseminate historical knowledge, and whether there any dangers to privileging artistic over scholarly approaches to history (or vice versa). In addition, because NYC is home to so many museums, archives, and cultural institutions relevant to our subject, it will serve as an experiential laboratory where we will spend several of our class meetings. Learning outcomes. By the end of the semester, students will be skilled at the following:
  
 analyzing artistic and scholarly sources on their own terms
  
 discussing them in relation to one another
  
 evaluating the utility of these diverse materials to the process of understanding the past.",Tamara Walker,,,00251,,W4001-20271-001,AFRO-LATIN AMER IN ART IM,Africana Studies (AFSB),AFRS,https://doc.sis.columbia.edu/subj/AFRS/W4001-20271-001/,,,,4,,,20271AFRS4001W001,SEMINAR
AHIS BC2526,Art History Spring 2027 Adjunct TBD,TO COME,,,,00856,,X2526-20271-001,Art History SP 2027 Adj T,Art History @Barnard,AHIS,https://doc.sis.columbia.edu/subj/AHIS/X2526-20271-001/,,,,3,,,20271AHIS2526X001,LECTURE
AHUM UN1400,COLLOQUIUM ON MAJOR TEXTS,"This course explores the core classical literature in Chinese, Japanese and Korean Humanities. The main objective of the course is to discover the meanings that these literature offer, not just for the original audience or for the respective cultures, but for us. As such, it is not a survey or a lecture-based course. Rather than being taught what meanings are to be derived from the texts, we explore meanings together, informed by in-depth reading and thorough ongoing discussion.",David L Moerman,,,00697,,V1400-20271-002,COLLOQ ON MAJOR TEXTS: E ASIA,Asian and Middle East @Barnard,AHUM,https://doc.sis.columbia.edu/subj/AHUM/V1400-20271-002/,,,,4,,,20271AHUM1400V002,COLLOQUIA
AMST BC1112,Elementary American Sign Language (ASL),"This course is an introduction to the basic skills in developing production and comprehension skills in American Sign Language (ASL). Students will learn ASL vocabulary, structure, and grammar. Course content also includes the manual alphabet and numbers. Students will develop basic conversational abilities, culturally appropriate behaviors, and learn about the culture and history of Deaf communities.",Kailyn Aaron-Lozano,,,00881,,X1112-20271-001,ELEMENTARY ASL II,American Studies @Barnard,AMST,https://doc.sis.columbia.edu/subj/AMST/X1112-20271-001/,,,,4,,,20271AMST1112X001,LANGUAGE
AMST BC1112,Elementary American Sign Language (ASL),"This course is an introduction to the basic skills in developing production and comprehension skills in American Sign Language (ASL). Students will learn ASL vocabulary, structure, and grammar. Course content also includes the manual alphabet and numbers. Students will develop basic conversational abilities, culturally appropriate behaviors, and learn about the culture and history of Deaf communities.",Kailyn Aaron-Lozano,,,00882,,X1112-20271-002,ELEMENTARY ASL II,American Studies @Barnard,AMST,https://doc.sis.columbia.edu/subj/AMST/X1112-20271-002/,,,,4,,,20271AMST1112X002,LANGUAGE
AMST BC3704,SENIOR RESEARCH ESSAY SEMINAR,,Jennie Kassanoff,,,00130,,X3704-20271-001,SENIOR RESEARCH ESSAY SEM,American Studies @Barnard,AMST,https://doc.sis.columbia.edu/subj/AMST/X3704-20271-001/,,,,4,,,20271AMST3704X001,SEMINAR
AMST BC4400,"Crime, Sex, Race and the Politics of Pur","The politics of what and who counts as worthy, good, or pure mediates possibilities for political and legal life. This course takes as its central question: how do certain ideas around purity and innocence come to appear natural? By considering a wide range of topics including carceral studies, immigration, race-making, settler colonialism, gender and sexuality and cultural studies, we will uncover the ways that cultural objects circulate and do political work. How are notions of race, crime, and purity produced, policed, and lived? And finally, how might we live otherwise—against innocence?",Daria Reaven,,,00132,,X4400-20271-001,The Politics of Purity,American Studies @Barnard,AMST,https://doc.sis.columbia.edu/subj/AMST/X4400-20271-001/,,,,4,,,20271AMST4400X001,SEMINAR
AMST GU4110,THE WEALTH OF NATIVES,"Indigenous people are often imagined in the distant past, or as living anachronisms in relation to contemporary life. Working against these assumptions, this course examines how Native peoples have survived colonialism, focusing on economic aspects of colonialism in North America, while looking to Australia and Hawai‘i. We will look at the long history of Native land struggles, and links between colonial economies and ecological destruction. Themes guiding our inquiry include: the development of wage labor, property law and economic production on Native lands, histories of political and economic dependency, ""development"" as defined and practiced over Native communities, and Native people's own economic choices. Our inquiry will be oriented towards deepening our ability to critically analyze the colonial situation we live in, and to see Indigenous survivals despite ongoing assaults against life and territory.",Manu Karuka,,,00796,,W4110-20271-001,,American Studies @Barnard,AMST,https://doc.sis.columbia.edu/subj/AMST/W4110-20271-001/,,,,4,,,20271AMST4110W001,SEMINAR
ANTH BC2012,LAB METHODS ARCHAEOLOGY,"Only the most recent chapters of the past are able to be studied using traditional historiographical methods focused on archives of textual documents. How, then, are we to analyze the deep history of human experiences prior to the written word? And even when textual archives do survive from a given historical period, these archives are typically biased toward the perspectives of those in power. How, then, are we to undertake analyses of the past that take into account the lives and experiences of all of society’s members, including the poor, the working class, the colonized, and others whose voices appear far less frequently in historical documents? From its disciplinary origins in nineteenth century antiquarianism, archaeology has grown to become a rigorous science of the past, dedicated to the exploration of long-term and inclusive social histories.
  
“Laboratory Methods in Archaeology” is an intensive introduction to the analysis of archaeological artifacts and samples in which we explore how the organic and inorganic remains from archaeological sites can be used to build rigorous claims about the human past. The 2022 iteration of the course centers on assemblages from two sites, both excavated by Barnard’s archaeological field program in the Taos region of northern New Mexico: (1) the Spanish colonial site of San Antonio del Embudo founded in 1725 and (2) the hippie commune known as New Buffalo, founded in 1967. Participants in ANTH BC2012 will be introduced to the history, geology, and ecology of the Taos region, as well as to the excavation histories of the two sites. Specialized laboratory modules focus on the analysis of chipped stone artifacts ceramics, animal bone, glass, and industrial artifacts.
  
The course only demands participation in the seminars and laboratory modules and successful completion of the written assignments, but all students are encouraged to develop specialized research projects to be subsequently expanded into either (1) a senior thesis project or (2) a conference presentation at the Society for American Archaeology, Society for Historical Archaeology, or Theoretical Archaeology Group meeting.",,,,00813,,X2012-20271-001,,Anthropology @Barnard,ANTH,https://doc.sis.columbia.edu/subj/ANTH/X2012-20271-001/,,,,4,ANTH BC2012,,20271ANTH2012X001,LECTURE
