name,departments,classes,wikipedia_link,culpa_link,culpa_nugget,culpa_reviews_count,gta
", Cristina I Dragomir",Institute for Study of Human Rights,"2019-Fall HRTS GR9990
2019-Fall HRTS UN3994
2019-Spring HRTS GR6990",,,,,
A. Park Williams,International and Public Affairs,"2017-Summer ENVP U6115
2019-Summer ENVP U6115
2020-Summer ENVP U6115",,,,,
A. V Ancona,Economics,"2015-Summer ECON S3025
2016-Summer ECON S3025
2017-Summer ECON S3025",,,,,
A. Vivette Ancona,"School of Professional Studies (SPS)
Summer Session (SS)
Summer Session (SUMM)","2019-Summer ECON S3025
2020-Summer ECON S3025
2021-Summer ECON S3213
2022-Summer ECON S3025
2023-Summer ECON S3025
2024-Summer ECON S3025
2025-Summer ECON S3025",,,,,
A.J. Goulding,"Climate, Energy, & Environment
International and Public Affairs","2016-Spring INAF U6057
2016-Spring SIPA U9000
2017-Spring INAF U6057
2017-Spring SIPA U9000
2019-Spring INAF U6057
2021-Spring INAF U6057
2021-Spring SIPA U9000
2022-Spring INAF U6057
2022-Spring SIPA U9000
2023-Fall SIPA U8000
2023-Spring INAF U6057
2023-Spring SIPA U9000
2024-Fall SIPA U8000
2024-Spring INAF U6057
2024-Spring SIPA U9000
2025-Spring INAF U6057
2025-Spring SIPA U9000
2025-Spring SIPA U9046
2026-Spring CEEN IA7350",,,,,
A.L. Hu,"Architecture, Planning and Preservation",2024-Fall ARCH A4105,,,,,
Aaishatu Glover,Pre-College Programs (SHSP),"2023-Summer BUFE PS0220
2023-Summer IFIN PS0101
2024-Fall IFIN PS0104
2024-Summer BUFE PS0220
2024-Summer IFIN PS0101
2025-Fall IFIN PS0104
2025-Spring IFIN PS0104
2025-Summer BUFE PS0220
2025-Summer IFIN PS0101",,,,,
Aamer N Ibraheem,"Anthropology
Anthropology @Barnard","2020-Fall ANTH UN1012
2020-Spring ANTH UN3467
2021-Spring ANTH UN3864",,,,,
Aamir A Azhar,Writing,2023-Spring WRIT UN1100,,,,,
Aamir Rehman,"Business
Finance","2023-Fall BUSI B8725
2023-Spring BUSI B8725
2023-Summer FINC B7457
2024-Fall FINC B8343
2024-Summer FINC B7457
2025-Fall BUSI B7802
2025-Fall BUSI B8725
2025-Fall FINC B8415
2025-Summer FINC B7343",,,,,
